,SongName,ArtistName
0,Money Longer,Lil Uzi Vert
1,DUELE EL CORAZON (feat. Wisin),Enrique Iglesias
2,My Number,Foals
3,Lot to Learn,Luke Christopher
4,Tlen,Taco Hemingway
5,El Amante,Nicky Jam
"6,TBT,""Sebastian Yatra, Rauw Alejandro, Manuel Turizo"""
"7,3 A.M.,""Jesse & Joy, Gente De Zona"""
8,El Amante,Nicky Jam
9,River (feat. Ed Sheeran),Eminem
"10,Are You Sure? (feat. Ty Dolla $ign),""Kris Kross Amsterdam, Conor Maynard"""
11,Friends (with BloodPop®),Justin Bieber
12,What About Us,P!nk
13,PLAYING WITH FIRE - KR Ver.,BLACKPINK
14,Thunder,Imagine Dragons
15,Don't Be So Shy - Filatov & Karas Remix,Imany
"16,Rewrite The Stars,""Zac Efron, Zendaya"""
17,Relax,Rezz
"18,What Do You Love,""Seeb, Jacob Banks"""
19,The Spectre,Alan Walker
"20,Closer,""The Chainsmokers, Halsey"""
21,Jocelyn Flores,XXXTENTACION
22,Uwe & Heiko,Zugezogen Maskulin
23,Chantaje (feat. Maluma),Shakira
24,Hola,Joey Montana
25,Without You (feat. Sandro Cavazza),Avicii
26,Run For Cover,The Killers
27,Isidora,Denise Rosenthal
"28,""Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]"",Anuel AA"
29,Photograph,Ed Sheeran
"30,Te Vas - Version Cumbia,""aLee DJ, Zeta Music"""
31,Toosie Slide,Drake
32,ROXANNE,Arizona Zervas
33,Memories,Maroon 5
"34,Criminal,""Natti Natasha, Ozuna"""
35,Plain Jane,A$AP Ferg
36,That's My Girl,Fifth Harmony
37,Rabiola,MC Kevinho
38,Söpö,Hank Solo
39,Chilii (feat. SINI YASEMIN),Raappana
40,Olisitpa sylissäni,Antti Ketonen
41,Curve (feat. The Weeknd),Gucci Mane
42,Neon Guts (feat. Pharrell Williams),Lil Uzi Vert
43,El Rey y el As,El Cuarteto De Nos
44,Owe Me,Big Sean
45,Without You (feat. Sandro Cavazza),Avicii
"46,Power,""Hardwell, KSHMR"""
47,Cocaine (feat. Lil Dicky),Brain
48,A Different Way (with Lauv),DJ Snake
49,Bossoli,Shiva
"50,Dusk Till Dawn - Radio Edit,""ZAYN, Sia"""
"51,Biały i młody,""Bedoes, Kubi Producent"""
"52,The Middle,""Zedd, Maren Morris, Grey"""
53,All of Me,John Legend
"54,Unforgettable,""French Montana, Swae Lee"""
55,Traicionero,La Beriso
56,Man's Not Hot,Big Shaq
57,Beautiful Trauma,P!nk
"58,El Farsante - Remix,""Ozuna, Romeo Santos"""
59,Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran
60,Você Partiu Meu Coração (feat. Anitta & Wesley Safadão),Nego do Borel
61,La Bikina - Operación Triunfo 2017,Ana Guerra
62,I Would Like,Zara Larsson
"63,Mi Mala - Remix,""Mau y Ricky, KAROL G, Becky G, Leslie Grace, Lali"""
64,New Rules,Dua Lipa
65,Thinking out Loud,Ed Sheeran
"66,Rewrite The Stars,""Zac Efron, Zendaya"""
67,The Box,Roddy Ricch
68,Cascare nei tuoi occhi,Ultimo
"69,Ahora Dice,""Chris Jedi, J Balvin, Ozuna, Arcangel"""
70,Inside the Lines (feat. Casso),Mike Perry
71,God's Plan,Drake
72,Bonita,CNCO
"73,Amigos y Enemigos (feat. Bad Bunny & Almighty) - Remix,""Trap Capos, Noriel"""
"74,The Middle,""Zedd, Maren Morris, Grey"""
75,Mercy,Shawn Mendes
76,Every Breath You Take,The Police
77,No Money,Galantis
"78,Con Altura,""ROSALÍA, J Balvin, El Guincho"""
"79,Jangueo,""Alex Rose, Rafa Pabön"""
80,For You (Fifty Shades Freed) (& Rita Ora),Liam Payne
81,Thinking out Loud,Ed Sheeran
82,Tienes La Magia,Lil Silvio & El Vega
83,ROXANNE,Arizona Zervas
84,月球下的人,Gin Lee
85,everything i wanted,Billie Eilish
86,ليش يا قلبي,علي خالد
"87,Soy Como Snapchat,""Yulien Oviedo, Nacho"""
88,Allt e mitt,Z.E
"89,Cuerpo en Venta,""Noriel, Myke Towers, Rauw Alejandro, Almighty"""
90,One Call Away,Charlie Puth
91,For You (Fifty Shades Freed) (& Rita Ora),Liam Payne
92,Sempurna,Andra And The Backbone
93,BOOMBAYAH,BLACKPINK
94,Weak,AJR
95,Den finast eg veit,Hellbillies
96,Love Me Now,John Legend
97,Treat You Better,Shawn Mendes
98,My Way,Calvin Harris
99,Fresh Eyes,Andy Grammer
"100,Fast Car,""Jonas Blue, Dakota"""
